transit_date,station_complex,ridership
2022-02-03,East 105 St (L),1398.0
2022-02-03,Forest Av (M),2121.0
2022-02-03,Fresh Pond Rd (M),2888.0
2022-02-03,Graham Av (L),3458.0
2022-02-03,Grand St (L),3422.0
2022-02-03,Halsey St (L),3090.0
2022-02-03,"Hewes St (M,J)",1229.0
2022-02-03,"High St (A,C)",3620.0
2022-02-03,"Hoyt-Schermerhorn Sts (A,C,G)",4251.0
2022-02-03,Inwood-207 St (A),3822.0
2022-02-03,Jefferson St (L),2745.0
2022-02-03,Kingston-Throop Avs (C),2760.0
2022-02-03,Knickerbocker Av (M),1876.0
2022-02-03,Lafayette Av (C),2053.0
2022-02-03,Livonia Av (L),1416.0
2022-02-03,"Marcy Av (M,J,Z)",4747.0
2022-02-03,Middle Village-Metropolitan Av (M),2161.0
2022-02-03,Montrose Av (L),2684.0
2022-02-03,Morgan Av (L),2571.0
2022-02-03,New Lots Av (L),2158.0
2022-02-03,"Nostrand Av (A,C)",7185.0
2022-02-03,Park Pl (S),886.0
2022-02-03,"Prince St (R,W)",2944.0
2022-02-03,Seneca Av (M),1291.0
2022-02-03,"Spring St (C,E)",3708.0
2022-02-03,Sutter Av (L),1546.0
2022-02-03,"Utica Av (A,C)",1657.0
2022-02-03,"W 4 St-Wash Sq (A,C,E,B,D,F,M)",12679.0
2022-02-03,Wilson Av (L),1997.0
2022-02-04,1 Av (L),9072.0
2022-02-04,"103 St (C,B)",1789.0
2022-02-04,"116 St (C,B)",3136.0
2022-02-04,"125 St (A,C,B,D)",11256.0
2022-02-04,"135 St (C,B)",2432.0
2022-02-04,"145 St (A,C,B,D)",9481.0
2022-02-04,155 St (C),1175.0
2022-02-04,163 St-Amsterdam Av (C),1987.0
2022-02-04,175 St (A),4602.0
2022-02-04,181 St (A),4507.0
2022-02-04,190 St (A),1749.0
2022-02-04,"23 St (C,E)",7371.0
2022-02-04,"23 St (R,W)",5377.0
2022-02-04,"28 St (R,W)",3051.0
2022-02-04,3 Av (L),2427.0
2022-02-04,"34 St-Penn Station (A,C,E)",21610.0
2022-02-04,"49 St (N,R,W)",6482.0
2022-02-04,"50 St (C,E)",6086.0
2022-02-04,"72 St (C,B)",2811.0
